abstain_notional_usd,abstain_positive_lp_loss_usd,all_horizons_observed,all_horizons_observed_rate,any_label_disagreement,any_label_disagreement_rate,count,dimension,group,legacy_abstain,legacy_benign,legacy_toxic,missing_economic_accounting,missing_economic_accounting_rate,missing_usd_conversion,missing_usd_conversion_rate,notional_usd,positive_lp_loss_usd,primary_observed,primary_observed_rate,resolved_label_conflict,resolved_label_conflict_rate,v3_abstain,v3_abstain_rate,v3_benign,v3_benign_rate,v3_toxic,v3_toxic_rate
0.0,0.0,6846,0.9998539506353147,3786,0.5529428946984081,6847,pool,uni_weth_3000,4999,341,1507,0,0.0,6847,1.0,0.0,0.0,6846,0.9998539506353147,37,0.005403826493354754,2680,0.3914122973565065,1299,0.18971812472615743,2868,0.41886957791733603
90167826.88095108,112798.04440777456,37461,0.8948902319581472,21036,0.5025202455746399,41861,pool,wbtc_usdc_500,27248,3441,11172,0,0.0,3241,0.07742289959628294,195691729.12162802,1470935.9314162603,38620,0.9225771004037171,704,0.016817562886696447,23190,0.553976254747856,10553,0.2520962232149256,8118,0.1939275220372184
388448414.18950427,419713.9760987089,34975,0.9002805735025354,19754,0.5084815567968287,38849,pool,weth_usdc_3000,26915,2878,9056,0,0.0,3025,0.07786558212566604,1080041097.7408352,6774743.664093971,35824,0.9221344178743339,225,0.0057916548688511935,16574,0.4266261679837319,6984,0.17977296712914104,15291,0.3936008648871271
12128539.882166,224.12238372580535,18,0.02425876010781671,507,0.683288409703504,742,pool_month_direction_regime,eurc_usdc_500|2026-01|one_for_zero|stress,280,137,325,0,0.0,640,0.862533692722372,13276478.565331003,224.2498433943343,102,0.13746630727762804,18,0.02425876010781671,671,0.9043126684636119,70,0.09433962264150944,1,0.0013477088948787063
10428815.96708037,133.6301145505386,42,0.052763819095477386,288,0.36180904522613067,796,pool_month_direction_regime,eurc_usdc_500|2026-01|zero_for_one|stress,555,64,177,0,0.0,650,0.8165829145728644,10855484.044561258,425.3687739906224,146,0.18341708542713567,0,0.0,749,0.9409547738693468,8,0.010050251256281407,39,0.048994974874371856
9933975.78083199,0.0,23,0.03155006858710562,442,0.6063100137174211,729,pool_month_direction_regime,eurc_usdc_500|2026-02|one_for_zero|stress,348,68,313,0,0.0,632,0.8669410150891632,12070255.770131983,2806.6628836418013,97,0.13305898491083676,25,0.03429355281207133,643,0.8820301783264746,27,0.037037037037037035,59,0.08093278463648834
7227869.057478704,0.0,39,0.043429844097995544,276,0.30734966592427615,898,pool_month_direction_regime,eurc_usdc_500|2026-02|zero_for_one|stress,697,68,133,0,0.0,761,0.8474387527839644,8375620.510469395,0.0,137,0.15256124721603564,0,0.0,811,0.9031180400890868,87,0.09688195991091314,0,0.0
9827201.517494,150.89384649771267,38,0.04702970297029703,441,0.5457920792079208,808,pool_month_direction_regime,eurc_usdc_500|2026-03|one_for_zero|stress,442,55,311,0,0.0,624,0.7722772277227723,10585200.537072,158.45334285488676,184,0.22772277227722773,1,0.0012376237623762376,732,0.905940594059406,74,0.09158415841584158,2,0.0024752475247524753
6677890.707705289,184.56263567730682,44,0.05219454329774614,427,0.5065243179122183,843,pool_month_direction_regime,eurc_usdc_500|2026-03|zero_for_one|stress,474,204,165,0,0.0,688,0.8161328588374852,7764805.673514381,489.1818534819582,155,0.18386714116251482,0,0.0,783,0.9288256227758007,41,0.04863582443653618,19,0.022538552787663108
4446941.025590002,2.1965018652003163,29,0.07178217821782178,164,0.40594059405940597,404,pool_month_direction_regime,eurc_usdc_500|2026-04|one_for_zero|stress,274,15,115,0,0.0,331,0.8193069306930693,4873042.160079002,243.7960780557931,73,0.1806930693069307,2,0.0049504950495049506,362,0.8960396039603961,22,0.054455445544554455,20,0.04950495049504951
