trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
50,1,10,1,5000,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
50,1,10,5,2500,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
50,1,10,5,5000,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
50,1,30,0.5,2500,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,30,0.5,5000,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,30,1,2500,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,30,1,5000,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,30,5,2500,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,30,5,5000,all four pools pass,4,1.0,1.0,94.41301743986743,3.7077589184239916,88.31057590858603,98.17570543540967,61.50698283945927,43.665824073119985,28.283793125155952,5613
50,1,100,0.5,2500,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
50,1,100,0.5,5000,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
50,1,100,1,2500,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
50,1,100,1,5000,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
