timestamp,block_number,tx_hash,log_index,price_wad,price
1760131451,23549989,0x1c430115e87f324b16846b44f887060ecefe8d025ab75c03da84b6cb805583d9,216,3667239293185342455744,3667.239293185342455744
1760131535,23549996,0x1794dd660e3faa3e987309609f10d3c69970649f32c6052657f4e36bbb71c2c2,554,3676877334223789800796,3676.877334223789800796
1760131535,23549996,0x61970c6e5bab4451baae55be27b8f0b0ff3fac4ae852099a58d4f1817d49cbff,602,3642658277961947589128,3642.658277961947589128
1760131679,23550008,0x3ff3eb25c80bbcda803a11e8df74b00614b0f52bb0d3b6c34471dcd6ee0eefe9,53,3596625279678363443167,3596.625279678363443167
1760131679,23550008,0x63d05143b94ebd5bb90405d34f1c16fb9a6bc3914e7f474690dddb806de79897,56,3571890656043335636991,3571.890656043335636991
1760131883,23550025,0x1f5c5dc08f828e13794a4ab969569233a61fc32b38bf55ad4fc9e977983d4e9c,108,3597535677579676107962,3597.535677579676107962
1760131943,23550029,0xf63544eef0821b3520395ee3680db5d41fe75ecab544fd2c21044dc650b727ec,182,3678722541669756908685,3678.722541669756908685
1760131967,23550031,0x0ff22523efef67f3e9be4e14562bf5e35d1f2770c03c84bfc68179fb99405ea2,385,3733468373603833657144,3733.468373603833657144
1760132123,23550044,0x851f2566d1128eea60993af3b2ae339e310561838366473d7f404243b40c9ac9,450,3765112533736565949032,3765.112533736565949032
1760132231,23550053,0x45bbb13613f1414d9449dc269fcc177bc63fa59c8668b208b232a8c692670ebe,170,3753530161658130781047,3753.530161658130781047
1760132327,23550061,0x494977a3a116683fbfdf5fbc5e2744f4b4bc11f1ce653ed2a1a7f0a11bec6d2c,266,3706320145049030787500,3706.3201450490307875
1760132543,23550079,0x00fa76f7b0139c4dc8c38970a0c77c825a908937f30de7292db8a9ded67cdfbe,377,3716700811578442856832,3716.700811578442856832
1760132567,23550081,0xd4330178518d0086f9a02c105e1ba9c55c8097bfd6c70646fb2fec46a4335c08,238,3738114592913070605032,3738.114592913070605032
1760132699,23550092,0x0ff83963a5aa6a2ded7e63adfe3fbb8a8d377d0f79c149d2188eea1df5bbb587,125,3802233436234702234917,3802.233436234702234917
1760132843,23550104,0xca05280bc47d78334cb5813805870f5e11885ac58c9ed816c989bae064cec8a6,449,3868076842600322785108,3868.076842600322785108
1760132915,23550110,0xb04295d6bd00aa21f9f6c5a2c3930974db4cfa3daaeea5a1bfcb9159c89cd5ac,948,3824787040103115887021,3824.787040103115887021
1760133047,23550121,0x90654facceed91b286baf0e4a672c6d15ab632adad71175d19963692617c1d4d,840,3845373809229449447445,3845.373809229449447445
1760133119,23550127,0x94bfda063198ec375621f4b78bd559eb426b1b7f1888846a748e872c07ed84c6,59,3873959954520025439795,3873.959954520025439795
1760133143,23550129,0x83b710364c668b724e883693b81c9e42f0cc91d7a1ede396cc6cd1b5378de7cf,685,3916372250879967592698,3916.372250879967592698
1760133323,23550144,0xfdc82b5de8f3862af0dac3bd61c85e81b80aa23d2ef8a778da2fa3c62fcd6094,576,3895612523159857502905,3895.612523159857502905
1760133431,23550153,0x3c1f7e7039730c942135cf7fce71e36f88ac607bef56f2b94f440cbce3b45d54,601,3941738600438456904636,3941.738600438456904636
1760133443,23550154,0x2b2059428364554fbfaa22e2ff6cb0943d17ae28a4f1267c0952ace1cdf5d99b,96,3962373717455958023456,3962.373717455958023456
1760133803,23550184,0x2c1507a95d243111ed2cf422bb453c75128a74ad30387adcad6e5958bc447843,123,3937270768757079747904,3937.270768757079747904
1760133899,23550192,0x335c0b27dce41157ad67576993bc6da5fe5ed245b47585e1bdc4db4e5a70daed,418,3906909949966348386572,3906.909949966348386572
1760134007,23550201,0x9a9d854a4b644feec766ab2d1c7531ee74d8600b4626d3617029f610b7628fe2,280,3877617944135401917296,3877.617944135401917296
1760134223,23550219,0x0e0fff7e9c601061dd66f07a318eeec1cfb0b83da011038fd3b6f5778f88222a,309,3909381827940762441127,3909.381827940762441127
1760134799,23550267,0x6acd57dcc6c2d133699137bd0e26c4deba568aebbb7bf5e211fb7239ea2276c4,311,3887443302520985211728,3887.443302520985211728
1760135099,23550290,0x0e752789b1c7c276021779f7f7c86a3ed0089cd81411c759ef2a2996b1cb8c4f,85,3863915971079331053841,3863.915971079331053841
1760135447,23550319,0xfa48ba21df679bd54c643f99c42c38712a4d5dec77036220c558b52321971483,342,3887567460135727174228,3887.567460135727174228
1760135759,23550345,0xdadfbbdd7f1b3b98f057fd97e7e9a9f98fa7c7e55f592ec668cf8fe994c441ba,386,3909790623908952377097,3909.790623908952377097
1760135939,23550360,0x7648d7844663eb719c298efc3fef2089a26aca3beb035916fb7543bdbdb56d4d,405,3888644217352105388685,3888.644217352105388685
1760136539,23550410,0x2e7ce9b2ced3dde67e7ace04a59c0eabca7b6eb145858a6d9e07e8a8eddbc039,230,3914082413275250519233,3914.082413275250519233
1760136659,23550420,0xe19348b5b99ced4f792cd1978388ac7f655a1da8c982304feac39b15cf5ae918,449,3892935297028734722133,3892.935297028734722133
1760136983,23550446,0x50eae4c13aba6feb6aef119d3538eb048e54a42a54f00f69123555a3e3a81e4a,393,3861569837467126831365,3861.569837467126831365
1760137439,23550484,0x0eceabab4b12ca31b768e09cd0f4b81fbfe26f853d38a235393b4d4150787c02,240,3881819101389329468754,3881.819101389329468754
1760137583,23550496,0x01652d235c3dfda2b1e5f2fc05543e39b3f195387e107bcea081a18514b78cb4,507,3857272642224213458781,3857.272642224213458781
1760137943,23550526,0xde065f9189eb482acfb837aba3d56b267a97bb9972bb99e513ba4d322df95007,555,3826748606988792354846,3826.748606988792354846
1760138279,23550554,0x05bc01ca6b93d5bc576c088e95253c1445f525a8cf05fb555b1edfc42171bd51,221,3852135149125224039111,3852.135149125224039111
1760138843,23550600,0x55d854ae706fb71cbcb51b81b7f19e84ca645b04df9b91f149026cd4b2df6655,403,3887452819756022902855,3887.452819756022902855
1760139623,23550665,0xa3752f5256daf0cfc9bdcbd84c29684bcbbea008f7c041ef3cee420315281fae,279,3907571219219132979089,3907.571219219132979089
1760140043,23550700,0x8425e011711194f3885eee214903264571577a0434b17cd51165c4a04f54ab9f,236,3887220418327932183049,3887.220418327932183049
1760140199,23550713,0x2ea1e5a6f422261d44316d2e620f576bb0d173eaf8cf332637cc39dbbf8d6790,574,3863521926834948865426,3863.521926834948865426
1760140499,23550738,0x5370632e706766b2484650092fb4fafd6d299b4c4c53ad167107dca7343a7546,304,3841268077267960156265,3841.268077267960156265
